Data e Hora;Nome do Usuário;Nível;idOperação;Descrição do Log;idUsuario;idLog
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9898444 VINCULADA A CARGA ID: 166466;874;119746313
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9898639 VINCULADA A CARGA ID: 166466;874;119746325
23/05/2026 09:07;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9827900 VINCULADA A CARGA ID: 166466;874;119746350
23/05/2026 09:10;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9893073 VINCULADA A CARGA ID: 166466;874;119746632
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914509 VINCULADA A CARGA ID: 166466;874;119745113
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9897197 VINCULADA A CARGA ID: 166466;874;119745133
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9877692 VINCULADA A CARGA ID: 166466;874;119745137
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9881633 VINCULADA A CARGA ID: 166466;874;119745175
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9886430 VINCULADA A CARGA ID: 166466;874;119745196
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914317 VINCULADA A CARGA ID: 166466;874;119745200
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9903482 VINCULADA A CARGA ID: 166466;874;119745202
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9914676 VINCULADA A CARGA ID: 166466;874;119745210
23/05/2026 09:03;CARLOS.DAGUANA;5 - OPERADOR;166466;NOTA FISCAL ID: 9892323 VINCULADA A CARGA ID: 166466;874;119745258
23/05/2026 09:07;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9902216 VINCULADA A CARGA ID: 166460;893;119746190
23/05/2026 09:07;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9913161 VINCULADA A CARGA ID: 166460;893;119746272
23/05/2026 09:07;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9889637 VINCULADA A CARGA ID: 166460;893;119746297
23/05/2026 09:07;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9903294 VINCULADA A CARGA ID: 166460;893;119746299
